node_id	pr_value
663930	0.0001742162191015133
482708	9.532336598847604e-05
1034017	5.6999273067418606e-05
663559	4.8791486595759225e-05
357530	4.58789933878379e-05
1120567	4.39963642862822e-05
663605	4.3455313985208096e-05
663682	3.640398242028055e-05
664788	3.536789501565304e-05
1108860	3.515020118467625e-05
